字詞		中文釋義		考題
search		[動詞] 搜尋;搜查; [名詞] 搜查,搜尋;檢查;探索,調查		
secondary		[形容詞] 第二的;次要的		
secret		[形容詞] 神祕的,奧祕的; [名詞] 秘密		1
section		[動詞] 把...分成段(或組等);將...切片; [名詞] 節;斷面		
seek		[動詞] 尋覓		
seem		[動詞] 似乎是		2
select		[形容詞] 精選的;卓越的; [動詞] 挑選		
selfish		[形容詞] 自私的		
semester		[名詞] 學期		5
sense		[動詞] 意識到;了解,領會; [名詞] 感官;官能		
servant		[名詞] 雇工		
serve		[動詞] 服務		1
shall		[助動詞] 將;應該		
shark		[名詞] 鯊魚		1
sheet		[名詞] 一張(紙);床單		
shelf		[名詞] 架子		
shoot		[動詞] 注射;射擊;拍攝; [名詞] 幼芽,幼枝;狩獵(隊);射擊;拍攝		
shore		[名詞] 岸邊		
shrimp		[名詞] 蝦子		
shut		[形容詞] 關閉的，關上的; [動詞] 關閉		1
silence		[動詞] 使沈默;使啞口無言;使安靜; [名詞] 寂靜		
silent		[形容詞] 寂靜的		
silly		[形容詞] 傻的;無聊的		1
silver		[形容詞] 銀的;銀白的; [名詞] 銀		2
similar		[形容詞] 相似的		
sincere		[形容詞] 誠懇的		
single		[形容詞] 單一的;獨身的; [動詞] 選出,挑出;擊出一壘安打; [名詞] 單的;一壘安打		
sink		[動詞] 沉下;陷於; [名詞] 洗物槽		
skate		[動詞] 溜冰; [名詞] 冰鞋		1
ski		[動詞] 滑雪; [名詞] 滑雪屐		
skill		[名詞] 技能		
skillful		[形容詞] 有技術的, 熟練的		
skin		[動詞] 植皮;癒合;脫皮; [名詞] 皮膚		1
skinny		[形容詞] 很瘦的		1
sleepy		[形容詞] 想睡的		
slender		[形容詞] 纖細的		
slice		[動詞] 切成薄片; [名詞] 薄片		
slippers		[名詞] 拖鞋		1
snail		[名詞] 蝸牛		
sneakers		[名詞] 球鞋		1
sneaky		[形容詞] 鬼鬼祟祟的		
snowman		[名詞] 雪人		1
soap		[動詞] 用肥皂擦洗;向...灌迷魂湯; [名詞] 肥皂		
social		[形容詞] 社會的;交際的		1
society		[名詞] 社會		
soda		[名詞] 蘇打;汽水		
soft drink		[片語] （不含酒精的）軟性飲料；汽水; [名詞] 冷飲		
softball		[名詞] 壘球		1
solve		[動詞] 解決		4
soul		[名詞] 靈魂		
sour		[形容詞] 酸的; [動詞] 使變酸;厭煩;變壞; [名詞] 酸味;酸的東西		
soy-sauce		[名詞] 醬油		
spaghetti		[名詞] 義大利麵條		1
speaker		[名詞] 演講者;揚聲器		2
speech		[名詞] 言論;演講；詞（類）		
speed		[動詞] 加速;促進; [名詞] 速度		
spirit		[名詞] 精神		1
spot		[動詞] 沾污;注意到; [名詞] 斑點;場所		
spread		[動詞] 展開;散布; [名詞] 蔓延;普及;價格差異		
state		[形容詞] 正式的;官方的;國家的; [動詞] 陳述; [名詞] 狀態；美國的州		3
stationery		[名詞] 文具		
steal		[動詞] 偷竊		
steam		[動詞] 蒸; [名詞] 蒸氣		
step		[動詞] 跨(步);踏(腳); [名詞] 步;臺階		
stingy		[形容詞] 小氣的		
stomachache		[名詞] 胃痛		
stone		[動詞] 用石頭鋪;用磨刀石磨; [名詞] 石頭		1
storm		[動詞] 猛攻; [名詞] 暴風雨		
stormy		[形容詞] 暴風雨的		
stove		[名詞] 爐灶		
straw		[名詞] 稻草;吸管		
stream		[動詞] 流;蜂擁而進; [名詞] 溪流		
strike		[動詞] 打擊;(鐘)敲響; [名詞] 攻擊;罷工		
style		[動詞] 稱呼;命名;設計;使成為時髦; [名詞] 時尚;風格;文體		
subway		[名詞] 地鐵		3
succeed		[動詞] 成功		
success		[名詞] 成功		
such		[形容詞] 如此的; [代名詞] 這樣的人(或事物);上述的人(或事物)		3
sudden		[形容詞] 突然的; [名詞] 突然發生的事		1
suggest		[動詞] 建議		1
suit		[動詞] 適合;相稱;彼此協調; [名詞] 一套衣服;訴訟		
super		[形容詞] 超級的; [副詞] 很;極		2
supper		[名詞] 晚餐		
support		[動詞] 支持; [名詞] 支持		
survive		[動詞] 在...之後仍然活著		
swallow		[動詞] 吞嚥; [名詞] 吞嚥;燕子		
swan		[名詞] 天鵝		2
sweep		[動詞] 掃; [名詞] 掃除		
swimsuit		[名詞] 泳衣		
symbol		[名詞] 符號;象徵		
system		[名詞] 系統		6
table tennis		[名詞] 乒乓球		
talent		[名詞] 天才		2
talkative		[形容詞] 好說話的		
tangerine		[名詞] 橘子		
tank		[名詞] 槽;坦克		
teapot		[名詞] 茶壺		
tear		[動詞] 撕; [名詞] 眼淚		
temperature		[名詞] 溫度		1
tent		[名詞] 帳篷		
term		[動詞] 把...稱為,把...叫做; [名詞] 術語;學期		
terrific		[形容詞] 非常好的;可怕的		1
textbook		[名詞] 教科書		
therefore		[副詞] 因此		
thief		[名詞] 小偷		
thumb		[動詞] 用拇指翻動;迅速翻閱;豎起拇指要求搭車; [名詞] 拇指		
thunder		[動詞] 打雷;大聲斥責;威嚇; [名詞] 雷		
till		[介系詞] 直到; [連接詞] 直到...為止		
tiny		[形容詞] 微小的		
title		[動詞] 加標題於;授頭銜於; [名詞] 標題;頭銜		5
tofu		[名詞] 豆腐		
toilet		[名詞] 馬桶		
tongue		[動詞] 舔;用舌吹(管樂器);發(音); [名詞] 舌頭		
toothache		[名詞] 牙痛		
toothbrush		[名詞] 牙刷		
toward		[介系詞] 向;對		
tower		[動詞] 高聳,屹立;勝過;高飛,翱翔; [名詞] 塔		
trace		[動詞] 追蹤;描繪; [名詞] 蹤跡		
trade		[動詞] 交換; 做買賣,進行交易; [名詞] 貿易		
tradition		[名詞] 傳統		
traditional		[形容詞] 傳統的		
trap		[動詞] 設陷阱; [名詞] 陷阱;圈套		
travel		[動詞] 旅行; [名詞] 旅行		4
treasure		[動詞] 珍愛; [名詞] 財寶		
triangle		[名詞] 三角形		
trousers		[名詞] 長褲		
trumpet		[動詞] 吹喇叭; [名詞] 小喇叭		
trust		[動詞] 信任; [名詞] 信任,信賴;託管,信託		
truth		[名詞] 事實;真相		
tub		[名詞] 浴缸		1
tube		[名詞] 管子		
tunnel		[動詞] 挖掘隧道; [名詞] 隧道		2
turkey		[名詞] 火雞		
underline		[動詞] 劃線於...之下;強調; [名詞] 底線		
underpass		[名詞] 地下通道		
underwear		[名詞] 內衣		
unique		[形容詞] 獨特的; [名詞] 獨一無二的人(或事物)		
universe		[名詞] 宇宙		
university		[名詞] 大學		1
upon		[介系詞] 在...之上		
upper		[形容詞] 較高的; [名詞] 鞋幫;上舖;上排假牙		
upstairs		[形容詞] 樓上的; [副詞] 樓上地; [名詞] 樓上		
usual		[形容詞] 例常的		36
valley		[名詞] 山谷		
valuable		[形容詞] 有價值的		
value		[動詞] 估價,評價;尊重;重視; [名詞] 價值		
vendor		[名詞] 小販		5
vest		[名詞] 背心		1
victory		[名詞] 勝利		
village		[名詞] 村落		6
vinegar		[名詞] 醋		
vocabulary		[名詞] 字彙		
volleyball		[名詞] 排球		
vote		[動詞] 投票; [名詞] 選舉,投票,表決		
waist		[名詞] 腰		
war		[動詞] 戰爭,打仗;鬥爭;對抗; [名詞] 戰爭		3
waste		[動詞] 浪費; [名詞] 浪費;垃圾,廢料		2
waterfall		[名詞] 瀑布		
weekday		[名詞] 工作日		1
weight		[名詞] 重量		5
whale		[名詞] 鯨魚		3
wheel		[動詞] 旋轉,轉動; [名詞] 輪子		
whole		[形容詞] 完整的; [名詞] 全部,全體;整體		5
wild		[形容詞] 野生的;無法無天的; [副詞] 狂暴地;無控制地;胡亂地; [名詞] 荒野,荒地;未開發的地方		
wing		[動詞] 在...裝翼;飛行; [名詞] 翅膀		
winner		[名詞] 贏家		3
wok		[名詞] 帶把的中國炒菜鍋		
wolf		[名詞] 狼		
women's room		[名詞] 女廁所		
wood		[名詞] 木材		
woods		[名詞] 樹林;森林		
worm		[動詞] 蠕動;潛行;鑽入; [名詞] 蠕蟲		
wound		[動詞] 傷害; [名詞] 傷口		
wrist		[名詞] 手腕		
yell		[動詞] 吼叫; [名詞] 叫喊;吼叫;歡呼		
youth		[名詞] 青少年;青少年時代		1
